id,date,primary_type,arrest
11938348,2020-01-01T11:40:00Z,THEFT,FALSE
11938349,2020-01-01T08:10:00Z,BATTERY,FALSE
11938350,2020-01-01T13:10:00Z,BATTERY,FALSE
11938351,2020-01-01T08:40:00Z,ROBBERY,FALSE
11938353,2020-01-01T10:07:00Z,BATTERY,FALSE
11938359,2020-01-01T13:35:00Z,BATTERY,FALSE
11938364,2020-01-01T15:00:00Z,OTHER OFFENSE,FALSE
11938365,2020-01-01T10:55:00Z,BATTERY,FALSE
11938367,2020-01-01T13:32:00Z,NARCOTICS,TRUE
11938369,2020-01-01T14:50:00Z,CRIMINAL DAMAGE,FALSE
11938370,2020-01-01T09:24:00Z,BATTERY,FALSE
11938371,2020-01-01T08:25:00Z,BATTERY,TRUE
11938373,2020-01-01T08:00:00Z,THEFT,FALSE
11938376,2020-01-01T10:38:00Z,ASSAULT,TRUE
11938380,2020-01-01T08:30:00Z,BATTERY,FALSE
11938381,2020-01-01T10:00:00Z,BURGLARY,FALSE
11938389,2020-01-01T10:26:00Z,NARCOTICS,TRUE
11938390,2020-01-01T14:30:00Z,BATTERY,FALSE
11938393,2020-01-01T14:45:00Z,CRIMINAL DAMAGE,FALSE
11938394,2020-01-01T06:00:00Z,CRIMINAL DAMAGE,FALSE
11938396,2020-01-01T14:04:00Z,CRIMINAL DAMAGE,FALSE
11938397,2020-01-01T13:30:00Z,ASSAULT,FALSE
11938398,2020-01-01T11:05:00Z,BATTERY,FALSE
11938399,2020-01-01T15:45:00Z,CRIMINAL DAMAGE,FALSE
11938400,2020-01-01T11:00:00Z,CRIMINAL DAMAGE,FALSE
11938404,2020-01-01T13:48:00Z,ROBBERY,FALSE
11938405,2020-01-01T13:47:00Z,BATTERY,TRUE
11938408,2020-01-01T14:52:00Z,THEFT,FALSE
11938409,2020-01-01T13:32:00Z,THEFT,TRUE
11938415,2020-01-01T11:54:00Z,BATTERY,FALSE
11938416,2020-01-01T11:00:00Z,BATTERY,FALSE
11938420,2020-01-01T15:00:00Z,CRIMINAL DAMAGE,FALSE
11938422,2020-01-01T15:00:00Z,THEFT,FALSE
11938425,2020-01-01T14:37:00Z,CRIMINAL DAMAGE,FALSE
11938426,2020-01-01T15:14:00Z,ASSAULT,FALSE
11938428,2020-01-01T06:00:00Z,WEAPONS VIOLATION,FALSE
11938429,2020-01-01T16:10:00Z,WEAPONS VIOLATION,FALSE
11938430,2020-01-01T11:59:00Z,CRIMINAL DAMAGE,FALSE
11938431,2020-01-01T14:50:00Z,ASSAULT,FALSE
11938433,2020-01-01T10:00:00Z,CRIMINAL DAMAGE,FALSE
11938437,2020-01-01T15:30:00Z,BATTERY,TRUE
11938438,2020-01-01T16:02:00Z,CRIMINAL DAMAGE,FALSE
11938440,2020-01-01T12:00:00Z,CRIMINAL DAMAGE,FALSE
11938441,2020-01-01T12:00:00Z,MOTOR VEHICLE THEFT,FALSE
11938443,2020-01-01T17:00:00Z,ASSAULT,FALSE
11938444,2020-01-01T07:00:00Z,THEFT,FALSE
11938446,2020-01-01T16:00:00Z,BATTERY,TRUE
11938447,2020-01-01T16:00:00Z,MOTOR VEHICLE THEFT,FALSE
11938450,2020-01-01T16:50:00Z,MOTOR VEHICLE THEFT,FALSE
11938452,2020-01-01T14:00:00Z,BATTERY,FALSE
11938464,2020-01-01T14:00:00Z,BATTERY,FALSE
11938472,2020-01-01T06:30:00Z,BATTERY,FALSE
11938475,2020-01-01T10:30:00Z,CRIMINAL DAMAGE,FALSE
11938476,2020-01-01T07:30:00Z,THEFT,FALSE
11938477,2020-01-01T15:40:00Z,CRIMINAL DAMAGE,FALSE
11938478,2020-01-01T06:17:00Z,WEAPONS VIOLATION,TRUE
11938480,2020-01-01T10:00:00Z,MOTOR VEHICLE THEFT,FALSE
11938481,2020-01-01T16:25:00Z,BATTERY,FALSE
11938482,2020-01-01T18:03:00Z,CRIMINAL DAMAGE,FALSE
11938487,2020-01-01T17:25:00Z,ROBBERY,FALSE
11938491,2020-01-01T16:30:00Z,THEFT,FALSE
11938493,2020-01-01T13:34:00Z,BATTERY,FALSE
11938494,2020-01-01T15:26:00Z,BATTERY,TRUE
11938497,2020-01-01T16:00:00Z,BATTERY,FALSE
11938500,2020-01-01T17:55:00Z,CRIMINAL DAMAGE,FALSE
11938501,2020-01-01T06:01:00Z,CRIMINAL DAMAGE,FALSE
11938505,2020-01-01T16:30:00Z,ASSAULT,FALSE
11938506,2020-01-01T18:03:00Z,OTHER OFFENSE,FALSE
11938507,2020-01-01T16:50:00Z,BATTERY,TRUE
11938508,2020-01-01T18:35:00Z,OTHER OFFENSE,TRUE
11938509,2020-01-01T06:01:00Z,BATTERY,FALSE
11938510,2020-01-01T18:40:00Z,BATTERY,FALSE
11938512,2020-01-01T06:30:00Z,BATTERY,FALSE
11938515,2020-01-01T12:00:00Z,ASSAULT,FALSE
11938518,2020-01-01T06:54:00Z,WEAPONS VIOLATION,TRUE
11938519,2020-01-01T18:55:00Z,ASSAULT,FALSE
11938521,2020-01-01T15:00:00Z,OTHER OFFENSE,FALSE
11938524,2020-01-01T14:30:00Z,CRIMINAL TRESPASS,TRUE
11938526,2020-01-01T08:30:00Z,CRIMINAL DAMAGE,FALSE
11938529,2020-01-01T08:42:00Z,BATTERY,FALSE
11938530,2020-01-01T09:01:00Z,BATTERY,FALSE
11938531,2020-01-01T08:30:00Z,BATTERY,FALSE
11938532,2020-01-01T12:45:00Z,BATTERY,FALSE
11938534,2020-01-01T06:30:00Z,BATTERY,FALSE
11938535,2020-01-01T12:30:00Z,BATTERY,FALSE
11938536,2020-01-01T15:24:00Z,BATTERY,FALSE
11938540,2020-01-01T18:43:00Z,OTHER OFFENSE,FALSE
11938543,2020-01-01T15:30:00Z,BATTERY,FALSE
11938544,2020-01-01T19:20:00Z,OTHER OFFENSE,FALSE
11938545,2020-01-01T11:11:00Z,WEAPONS VIOLATION,FALSE
11938547,2020-01-01T15:00:00Z,BATTERY,TRUE
11938548,2020-01-01T19:25:00Z,BATTERY,FALSE
11938552,2020-01-01T08:00:00Z,ROBBERY,FALSE
11938555,2020-01-01T18:00:00Z,BURGLARY,FALSE
11938556,2020-01-01T12:45:00Z,BURGLARY,FALSE
11938559,2020-01-01T14:00:00Z,BATTERY,FALSE
11938562,2020-01-01T18:38:00Z,NARCOTICS,TRUE
11938563,2020-01-01T18:37:00Z,CRIMINAL TRESPASS,TRUE
11938566,2020-01-01T10:00:00Z,CRIMINAL DAMAGE,FALSE
